vpt.from_seq	vpt.to_seq	vpt.event	vpt.block	vpt.trial	vpt.patt	vpt.reps	vpt.phor	vpt.stim	vpt.keep	vpt.thor	vpt.image	vpt.pdir	vpt.response	vpt.rt	vpt.set_id	vpt.type	vpt.placebo
12	13	trial	0	0	yes	0	right	practice	no	right	practice_right	up	1	603	2	practice	TRUE
15	16	trial	0	1	yes	0	right	practice	yes	right	practice_right	down	1	533	2	practice	TRUE
18	19	trial	0	2	yes	0	left	practice	no	left	practice_left	up	1	596	2	practice	TRUE
21	22	trial	0	3	yes	0	left	practice	yes	left	practice_left	up	1	515	2	practice	TRUE
24	25	trial	0	4	no	0	left	practice	no	right	practice_right	down	2	628	2	practice	TRUE
28	29	trial	0	5	no	0	right	practice	no	left	practice_left	up	1	424	2	practice	TRUE
31	32	trial	0	6	no	0	right	practice	yes	left	practice_left	down	1	397	2	practice	TRUE
34	35	trial	0	7	no	0	left	practice	yes	right	practice_right	down	1	565	2	practice	TRUE
41	42	trial	1	0	yes	1	right	sa_a_25	no	right	sa_a_25_right	down	1	589	2	assess	TRUE
44	45	trial	1	1	no	1	left	sa_p_29	no	right	sa_p_29_right	up	1	525	2	assess	TRUE
47	48	trial	1	2	yes	0	left	dr_a_11	no	left	dr_a_11_left	up	1	741	2	assess	TRUE
50	51	trial	1	3	yes	1	left	sw_a_57	no	left	sw_a_57_left	up	1	656	2	assess	TRUE
53	54	trial	1	4	yes	0	right	sw_a_57	no	right	sw_a_57_right	up	1	602	2	assess	TRUE
56	57	trial	1	5	no	1	left	sw_a_35	yes	right	sw_a_35_right	down	1	598	2	assess	TRUE
59	60	trial	1	6	no	1	left	sw_a_57	no	right	sw_a_57_right	down	1	678	2	assess	TRUE
62	63	trial	1	7	no	0	right	sw_a_35	no	left	sw_a_35_left	up	1	489	2	assess	TRUE
65	66	trial	1	8	yes	0	right	sw_p_28	no	right	sw_p_28_right	up	1	456	2	assess	TRUE
68	69	trial	1	9	no	1	left	dr_a_11	no	right	dr_a_11_right	up	1	558	2	assess	TRUE
71	72	trial	1	10	yes	0	left	sw_a_57	yes	left	sw_a_57_left	down	1	672	2	assess	TRUE
74	75	trial	1	11	no	1	left	sw_p_28	no	right	sw_p_28_right	up	1	500	2	assess	TRUE
77	78	trial	1	12	yes	0	right	sw_a_35	yes	right	sw_a_35_right	up	1	458	2	assess	TRUE
80	81	trial	1	13	no	0	right	sw_p_41	no	left	sw_p_41_left	down	1	526	2	assess	TRUE
83	84	trial	1	14	yes	1	left	sa_p_29	no	left	sa_p_29_left	down	2	638	2	assess	TRUE
87	88	trial	1	15	no	0	right	sa_p_22	no	left	sa_p_22_left	up	1	427	2	assess	TRUE
90	91	trial	1	16	yes	0	right	sa_p_29	yes	right	sa_p_29_right	up	2	510	2	assess	TRUE
94	95	trial	1	17	no	1	left	sa_a_25	no	right	sa_a_25_right	up	1	836	2	assess	TRUE
97	98	trial	1	18	yes	0	left	sa_a_25	yes	left	sa_a_25_left	up	1	592	2	assess	TRUE
100	101	trial	1	19	no	1	right	sa_p_29	no	left	sa_p_29_left	up	1	459	2	assess	TRUE
103	104	trial	1	20	yes	1	right	sw_a_35	yes	right	sw_a_35_right	down	1	405	2	assess	TRUE
106	107	trial	1	21	no	1	right	sw_p_41	no	left	sw_p_41_left	down	1	547	2	assess	TRUE
109	110	trial	1	22	yes	0	left	sa_p_29	yes	left	sa_p_29_left	down	1	739	2	assess	TRUE
112	113	trial	1	23	yes	0	left	sw_p_41	no	left	sw_p_41_left	down	1	724	2	assess	TRUE
115	116	trial	1	24	yes	1	right	dr_a_11	no	right	dr_a_11_right	up	1	497	2	assess	TRUE
118	119	trial	1	25	no	0	left	sw_p_41	yes	right	sw_p_41_right	down	1	582	2	assess	TRUE
121	122	trial	1	26	no	0	left	dr_a_11	yes	right	dr_a_11_right	down	1	531	2	assess	TRUE
124	125	trial	1	27	yes	1	left	sa_p_22	no	left	sa_p_22_left	down	1	559	2	assess	TRUE
127	128	trial	1	28	no	1	right	dr_a_11	no	left	dr_a_11_left	down	1	642	2	assess	TRUE
130	131	trial	1	29	no	1	right	sw_a_57	yes	left	sw_a_57_left	up	1	555	2	assess	TRUE
133	134	trial	1	30	yes	1	right	sw_p_28	yes	right	sw_p_28_right	down	1	442	2	assess	TRUE
136	137	trial	1	31	yes	0	right	sa_p_22	yes	right	sa_p_22_right	up	1	483	2	assess	TRUE
139	140	trial	1	32	no	0	left	dr_a_11	no	right	dr_a_11_right	up	1	666	2	assess	TRUE
142	143	trial	1	33	no	1	left	sw_a_57	yes	right	sw_a_57_right	down	1	695	2	assess	TRUE
145	146	trial	1	34	yes	1	left	sa_a_25	no	left	sa_a_25_left	down	1	750	2	assess	TRUE
148	149	trial	1	35	yes	1	right	dr_a_11	yes	right	dr_a_11_right	up	1	420	2	assess	TRUE
151	152	trial	1	36	yes	1	right	sw_a_35	no	right	sw_a_35_right	down	1	579	2	assess	TRUE
154	155	trial	1	37	no	0	left	sw_p_28	yes	right	sw_p_28_right	down	1	574	2	assess	TRUE
157	158	trial	1	38	yes	1	right	sa_p_22	no	right	sa_p_22_right	up	1	431	2	assess	TRUE
160	161	trial	1	39	yes	0	right	dr_a_11	yes	right	dr_a_11_right	down	1	438	2	assess	TRUE
163	164	trial	1	40	no	1	right	sa_p_22	no	left	sa_p_22_left	up	1	450	2	assess	TRUE
166	167	trial	1	41	yes	1	left	sw_a_57	yes	left	sw_a_57_left	down	1	526	2	assess	TRUE
169	170	trial	1	42	no	0	left	sa_p_29	no	right	sa_p_29_right	down	1	660	2	assess	TRUE
172	173	trial	1	43	yes	0	right	sa_p_29	no	right	sa_p_29_right	down	1	484	2	assess	TRUE
175	176	trial	1	44	yes	1	right	sw_p_41	no	right	sw_p_41_right	up	1	430	2	assess	TRUE
178	179	trial	1	45	no	1	left	sw_p_41	yes	right	sw_p_41_right	down	1	527	2	assess	TRUE
181	182	trial	1	46	yes	1	right	sa_p_29	yes	right	sa_p_29_right	down	1	454	2	assess	TRUE
184	185	trial	1	47	no	0	right	sw_a_57	no	left	sw_a_57_left	up	2	545	2	assess	TRUE
188	189	trial	1	48	no	1	right	sa_p_22	yes	left	sa_p_22_left	down	1	448	2	assess	TRUE
191	192	trial	1	49	no	1	right	sw_p_28	yes	left	sw_p_28_left	down	1	469	2	assess	TRUE
194	195	trial	1	50	yes	0	left	sa_p_22	no	left	sa_p_22_left	down	1	636	2	assess	TRUE
197	198	trial	1	51	yes	0	right	sw_p_41	yes	right	sw_p_41_right	up	1	432	2	assess	TRUE
200	201	trial	1	52	no	1	right	sw_a_57	no	left	sw_a_57_left	up	1	451	2	assess	TRUE
203	204	trial	1	53	no	0	right	sw_p_28	yes	left	sw_p_28_left	down	1	384	2	assess	TRUE
206	207	trial	1	54	yes	0	right	sw_a_57	yes	right	sw_a_57_right	down	1	404	2	assess	TRUE
209	210	trial	1	55	yes	0	right	sw_a_35	no	right	sw_a_35_right	down	1	512	2	assess	TRUE
212	213	trial	1	56	no	0	left	sa_p_22	yes	right	sa_p_22_right	up	1	678	2	assess	TRUE
215	216	trial	1	57	yes	0	right	sw_p_28	yes	right	sw_p_28_right	down	1	420	2	assess	TRUE
218	219	trial	1	58	yes	1	left	sw_p_41	yes	left	sw_p_41_left	down	1	531	2	assess	TRUE
221	222	trial	1	59	no	0	left	sw_p_28	no	right	sw_p_28_right	down	1	752	2	assess	TRUE
224	225	trial	1	60	yes	1	right	sw_p_28	no	right	sw_p_28_right	down	1	454	2	assess	TRUE
227	228	trial	1	61	no	0	left	sa_a_25	yes	right	sa_a_25_right	up	1	654	2	assess	TRUE
230	231	trial	1	62	yes	1	left	sw_a_35	yes	left	sw_a_35_left	down	1	522	2	assess	TRUE
233	234	trial	1	63	yes	0	left	sw_a_35	yes	left	sw_a_35_left	down	1	482	2	assess	TRUE
236	237	trial	1	64	no	1	left	sa_p_22	yes	right	sa_p_22_right	down	1	460	2	assess	TRUE
239	240	trial	1	65	no	1	left	sw_p_28	yes	right	sw_p_28_right	down	1	421	2	assess	TRUE
242	243	trial	1	66	yes	1	left	sw_p_28	no	left	sw_p_28_left	up	1	468	2	assess	TRUE
245	246	trial	1	67	yes	1	right	sa_a_25	yes	right	sa_a_25_right	up	1	463	2	assess	TRUE
248	249	trial	1	68	yes	0	left	sa_a_25	no	left	sa_a_25_left	up	1	735	2	assess	TRUE
251	252	trial	1	69	no	0	right	dr_a_11	yes	left	dr_a_11_left	down	1	618	2	assess	TRUE
254	255	trial	1	70	yes	1	left	dr_a_11	yes	left	dr_a_11_left	up	1	474	2	assess	TRUE
257	258	trial	1	71	yes	1	left	sw_p_28	yes	left	sw_p_28_left	down	2	535	2	assess	TRUE
261	262	trial	1	72	yes	0	right	sw_p_41	no	right	sw_p_41_right	up	1	433	2	assess	TRUE
264	265	trial	1	73	no	0	right	sa_p_29	yes	left	sa_p_29_left	down	1	423	2	assess	TRUE
267	268	trial	1	74	no	1	right	sa_a_25	no	left	sa_a_25_left	up	1	424	2	assess	TRUE
270	271	trial	1	75	yes	0	right	sa_p_22	no	right	sa_p_22_right	up	1	428	2	assess	TRUE
273	274	trial	1	76	no	1	right	sa_a_25	yes	left	sa_a_25_left	down	1	511	2	assess	TRUE
276	277	trial	1	77	no	0	left	sw_a_57	yes	right	sw_a_57_right	up	1	646	2	assess	TRUE
279	280	trial	1	78	no	1	right	sa_p_29	yes	left	sa_p_29_left	up	1	412	2	assess	TRUE
282	283	trial	1	79	no	0	left	sa_p_22	no	right	sa_p_22_right	up	1	705	2	assess	TRUE
285	286	trial	1	80	yes	1	right	sw_p_41	yes	right	sw_p_41_right	up	1	387	2	assess	TRUE
288	289	trial	1	81	yes	1	left	dr_a_11	no	left	dr_a_11_left	up	1	637	2	assess	TRUE
291	292	trial	1	82	yes	1	right	sa_p_29	no	right	sa_p_29_right	down	1	465	2	assess	TRUE
294	295	trial	1	83	yes	1	left	sa_a_25	yes	left	sa_a_25_left	down	1	726	2	assess	TRUE
297	298	trial	1	84	no	1	right	dr_a_11	yes	left	dr_a_11_left	down	1	994	2	assess	TRUE
300	301	trial	1	85	no	0	left	sw_p_41	no	right	sw_p_41_right	up	3	NA	2	assess	TRUE
304	305	trial	1	86	yes	1	right	sa_p_22	yes	right	sa_p_22_right	down	1	1571	2	assess	TRUE
307	308	trial	1	87	yes	0	left	sw_p_28	no	left	sw_p_28_left	up	1	643	2	assess	TRUE
310	311	trial	1	88	no	0	left	sa_p_29	yes	right	sa_p_29_right	up	1	1148	2	assess	TRUE
313	314	trial	1	89	yes	0	right	sa_a_25	no	right	sa_a_25_right	up	1	562	2	assess	TRUE
316	317	trial	1	90	no	0	left	sw_a_57	no	right	sw_a_57_right	up	1	601	2	assess	TRUE
319	320	trial	1	91	yes	1	left	sw_p_41	no	left	sw_p_41_left	up	1	650	2	assess	TRUE
322	323	trial	1	92	yes	0	left	sw_a_57	no	left	sw_a_57_left	up	1	602	2	assess	TRUE
325	326	trial	1	93	no	0	left	sw_a_35	no	right	sw_a_35_right	down	1	666	2	assess	TRUE
328	329	trial	1	94	yes	0	left	dr_a_11	yes	left	dr_a_11_left	up	1	2401	2	assess	TRUE
331	332	trial	1	95	no	1	right	sw_p_41	yes	left	sw_p_41_left	up	1	473	2	assess	TRUE
334	335	trial	1	96	yes	0	left	sa_p_22	yes	left	sa_p_22_left	down	1	559	2	assess	TRUE
337	338	trial	1	97	no	1	left	sa_p_29	yes	right	sa_p_29_right	up	1	589	2	assess	TRUE
340	341	trial	1	98	yes	0	left	sw_a_35	no	left	sw_a_35_left	up	1	696	2	assess	TRUE
343	344	trial	1	99	no	1	left	sa_a_25	yes	right	sa_a_25_right	down	1	444	2	assess	TRUE
346	347	trial	1	100	no	0	right	sa_a_25	no	left	sa_a_25_left	up	1	421	2	assess	TRUE
349	350	trial	1	101	yes	1	left	sa_p_29	yes	left	sa_p_29_left	up	1	612	2	assess	TRUE
352	353	trial	1	102	no	0	right	sw_p_28	no	left	sw_p_28_left	up	1	457	2	assess	TRUE
355	356	trial	1	103	yes	0	right	dr_a_11	no	right	dr_a_11_right	down	1	423	2	assess	TRUE
358	359	trial	1	104	yes	1	left	sa_p_22	yes	left	sa_p_22_left	up	2	462	2	assess	TRUE
362	363	trial	1	105	no	0	right	sw_a_57	yes	left	sw_a_57_left	up	1	375	2	assess	TRUE
365	366	trial	1	106	yes	1	right	sw_a_57	yes	right	sw_a_57_right	down	1	438	2	assess	TRUE
368	369	trial	1	107	no	1	right	sw_p_28	no	left	sw_p_28_left	up	1	480	2	assess	TRUE
371	372	trial	1	108	no	0	left	sa_a_25	no	right	sa_a_25_right	up	1	602	2	assess	TRUE
374	375	trial	1	109	yes	0	left	sw_p_41	yes	left	sw_p_41_left	down	1	567	2	assess	TRUE
377	378	trial	1	110	no	0	right	sa_a_25	yes	left	sa_a_25_left	down	1	388	2	assess	TRUE
380	381	trial	1	111	no	0	right	sw_a_35	yes	left	sw_a_35_left	down	1	408	2	assess	TRUE
383	384	trial	1	112	no	0	right	sw_p_41	yes	left	sw_p_41_left	down	1	374	2	assess	TRUE
386	387	trial	1	113	no	0	left	sw_a_35	yes	right	sw_a_35_right	up	1	570	2	assess	TRUE
389	390	trial	1	114	no	1	left	sw_p_41	no	right	sw_p_41_right	down	1	631	2	assess	TRUE
392	393	trial	1	115	no	1	left	sw_a_35	no	right	sw_a_35_right	down	1	670	2	assess	TRUE
395	396	trial	1	116	no	1	right	sw_a_35	no	left	sw_a_35_left	down	1	619	2	assess	TRUE
398	399	trial	1	117	yes	0	left	sw_p_28	yes	left	sw_p_28_left	up	1	417	2	assess	TRUE
401	402	trial	1	118	yes	1	right	sw_a_57	no	right	sw_a_57_right	up	1	523	2	assess	TRUE
404	405	trial	1	119	no	1	left	sa_p_22	no	right	sa_p_22_right	down	1	636	2	assess	TRUE
407	408	trial	1	120	no	0	right	sa_p_29	no	left	sa_p_29_left	down	1	458	2	assess	TRUE
410	411	trial	1	121	no	0	right	dr_a_11	no	left	dr_a_11_left	down	1	644	2	assess	TRUE
413	414	trial	1	122	yes	0	left	sa_p_29	no	left	sa_p_29_left	down	1	675	2	assess	TRUE
416	417	trial	1	123	no	0	right	sa_p_22	yes	left	sa_p_22_left	down	1	442	2	assess	TRUE
419	420	trial	1	124	no	1	left	dr_a_11	yes	right	dr_a_11_right	up	2	503	2	assess	TRUE
423	424	trial	1	125	no	1	right	sw_a_35	yes	left	sw_a_35_left	up	1	443	2	assess	TRUE
426	427	trial	1	126	yes	1	left	sw_a_35	no	left	sw_a_35_left	up	1	494	2	assess	TRUE
429	430	trial	1	127	yes	0	right	sa_a_25	yes	right	sa_a_25_right	up	1	394	2	assess	TRUE
438	439	trial	2	0	no	0	left	dr_p_9	no	right	dr_p_9_right	down	1	679	2	train	FALSE
441	442	trial	2	1	no	2	right	sa_p_30	yes	left	sa_p_30_left	up	1	423	2	train	FALSE
444	445	trial	2	2	no	2	left	sw_a_23	yes	right	sw_a_23_right	up	2	551	2	train	FALSE
448	449	trial	2	3	no	1	left	sw_a_43	yes	right	sw_a_43_right	up	1	721	2	train	FALSE
451	452	trial	2	4	no	1	left	sa_p_30	no	right	sa_p_30_right	up	1	658	2	train	FALSE
454	455	trial	2	5	no	0	left	sa_p_11	yes	right	sa_p_11_right	up	1	580	2	train	FALSE
457	458	trial	2	6	no	0	right	sw_a_4	yes	left	sw_a_4_left	down	1	449	2	train	FALSE
460	461	trial	2	7	no	1	right	sa_p_58	yes	left	sa_p_58_left	down	1	425	2	train	FALSE
463	464	trial	2	8	no	2	right	sw_a_43	no	left	sw_a_43_left	up	1	482	2	train	FALSE
466	467	trial	2	9	no	2	left	sa_p_58	no	right	sa_p_58_right	down	1	666	2	train	FALSE
469	470	trial	2	10	no	2	left	sw_a_43	no	right	sw_a_43_right	up	1	639	2	train	FALSE
472	473	trial	2	11	no	1	right	sw_a_4	no	left	sw_a_4_left	up	1	473	2	train	FALSE
475	476	trial	2	12	no	0	left	dr_p_9	yes	right	dr_p_9_right	up	1	517	2	train	FALSE
478	479	trial	2	13	no	0	right	sw_a_43	yes	left	sw_a_43_left	down	1	458	2	train	FALSE
481	482	trial	2	14	no	0	left	sa_p_11	no	right	sa_p_11_right	down	1	530	2	train	FALSE
484	485	trial	2	15	no	0	left	sw_a_19	no	right	sw_a_19_right	up	1	466	2	train	FALSE
487	488	trial	2	16	no	2	left	sw_a_23	no	right	sw_a_23_right	down	1	511	2	train	FALSE
490	491	trial	2	17	no	2	right	sa_p_11	yes	left	sa_p_11_left	up	1	621	2	train	FALSE
493	494	trial	2	18	no	3	right	sw_a_54	yes	left	sw_a_54_left	up	1	431	2	train	FALSE
496	497	trial	2	19	no	2	left	sw_a_54	no	right	sw_a_54_right	down	1	558	2	train	FALSE
499	500	trial	2	20	no	3	left	sw_a_23	no	right	sw_a_23_right	down	1	503	2	train	FALSE
502	503	trial	2	21	no	2	right	sw_a_4	yes	left	sw_a_4_left	up	1	382	2	train	FALSE
505	506	trial	2	22	no	0	right	sw_a_54	yes	left	sw_a_54_left	up	1	456	2	train	FALSE
508	509	trial	2	23	no	3	right	sw_p_10	yes	left	sw_p_10_left	up	1	377	2	train	FALSE
511	512	trial	2	24	no	0	right	dr_p_9	no	left	dr_p_9_left	down	1	471	2	train	FALSE
514	515	trial	2	25	no	0	left	sa_p_58	no	right	sa_p_58_right	up	1	461	2	train	FALSE
