set_id	task_n	resp_1_n	outlier_fast_n	outlier_slow_n	outlier_sd_n	correct_n.yes.control	correct_mean.yes.control	correct_sd.yes.control	penalty.yes.control	adjusted_mean.yes.control	correct_n.no.control	correct_mean.no.control	correct_sd.no.control	penalty.no.control	adjusted_mean.no.control	inclusive_sd.control	score.control	correct_n.yes.test	correct_mean.yes.test	correct_sd.yes.test	penalty.yes.test	adjusted_mean.yes.test	correct_n.no.test	correct_mean.no.test	correct_sd.no.test	penalty.no.test	adjusted_mean.no.test	inclusive_sd.test	score.test	score	Timestamp	UserID	username	condition	trainingNr	trainingType	Session	RunID	participationID	trainingNr.1	taskType	taskName	userID	userAgent	run_from	run_to	lotus_says	event_count	sequence_report
168	64	61	0	0	8	14	569.5	71.9088632602728	713.317726520546	579.087848434703	13	606.615384615385	136.412083080116	879.439550775616	642.991940103415	127.234572163465	0.502254148240553	12	597.416666666667	116.301691016654	830.020048699975	597.416666666667	14	537.642857142857	108.042446888574	753.727750920005	537.642857142857	113.776028298516	-0.525363825910501	-0.0115548388349736	2015-01-26 10:20:02	10054	2063	VPT=>Con,AAT=>Con	1	cannabis	1-AAT-VPT-2	1328645	10054_1-AAT-VPT-2	NA	assessment	aat	10054	Mozilla\/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident\/5.0)	1328645	1328675	task_done	335	
174	64	57	0	0	3	14	913.928571428571	241.24914165992	1396.42685474841	946.095123649894	13	720.461538461538	108.961472842939	938.384484147417	720.461538461538	233.406799323717	-0.966696710816123	14	896.428571428571	200.1271573797	1296.68288618797	896.428571428571	13	774.461538461538	196.69333804369	1167.84821454892	826.913095273189	214.488809040938	-0.324098382877004	-0.645397546846563	2015-01-28 10:22:43	10054	2063	VPT=>Con,AAT=>Con	2	cannabis	X-AAT-VPT-2	1332825	10054_X-AAT-VPT-2	NA	training	aat	10054	Mozilla\/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident\/5.0)	1332825	1332949	task_done	1148	
175	64	61	0	0	7	14	834.071428571429	188.410543672675	1210.89251591678	834.071428571429	15	830	173.587359645141	1177.17471929028	830	177.628923553453	-0.0229209775636756	12	842.666666666667	245.965752728203	1334.59817212307	880.507551701775	13	839.230769230769	226.1419737857	1291.51471680217	839.230769230769	246.059259520059	-0.167751388635064	-0.09533618309937	2015-01-29 13:36:01	10054	2063	VPT=>Con,AAT=>Con	3	cannabis	X-AAT-VPT-2	1334797	10054_X-AAT-VPT-2	NA	training	aat	10054	Mozilla\/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident\/5.0)	1334797	1334920	task_done	1151	
176	64	61	0	0	5	13	821	137.232163382593	1095.46432676519	821	14	789.785714285714	144.46941575265	1078.72454579101	789.785714285714	139.213183791301	-0.224219322223677	15	775.466666666667	150.487240402001	1076.44114747067	775.466666666667	14	894.785714285714	186.6902735596	1268.16626140491	894.785714285714	176.598602776078	0.675651141874212	0.225715909825268	2015-02-04 14:37:32	10054	2063	VPT=>Con,AAT=>Con	4	cannabis	X-AAT-VPT-2	1342867	10054_X-AAT-VPT-2	NA	training	aat	10054	Mozilla\/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident\/5.0)	1342867	1343064	task_done	1133	
177	64	63	0	0	2	16	712.25	150.942152274748	1014.1343045495	712.25	16	756.8125	182.300930240815	1121.41436048163	756.8125	166.185280271847	0.26814950112973	13	831.461538461538	309.449946244573	1450.36143095068	875.668673639335	16	870.3125	250.280301195813	1370.87310239163	870.3125	290.339050443905	-0.0184479959934618	0.124850752568134	2015-02-06 10:25:49	10054	2063	VPT=>Con,AAT=>Con	5	cannabis	X-AAT-VPT-2	1346567	10054_X-AAT-VPT-2	NA	training	aat	10054	Mozilla\/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident\/5.0)	1346567	1346771	task_done	1114	
178	64	62	0	0	5	13	714.384615384615	124.673265285397	963.73114595541	714.384615384615	14	757.214285714286	86.845732875492	930.90575146527	757.214285714286	106.867012705317	0.40077540529529	15	767.333333333333	165.258095400008	1097.84952413335	767.333333333333	15	823.866666666667	123.764099725859	1071.39486611838	823.866666666667	146.306150435217	0.386404352552258	0.393589878923774	2015-02-09 10:20:15	10054	2063	VPT=>Con,AAT=>Con	6	cannabis	X-AAT-VPT-2	1350904	10054_X-AAT-VPT-2	NA	training	aat	10054	Mozilla\/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident\/5.0)	1350904	1351016	task_done	1126	
179	64	32	3	0	6	11	616.636363636364	178.182643782874	973.001651202112	646.333470933509	1	671	NA	NA	671	190.277293314718	0.129634643402733	11	644.909090909091	180.949415332272	1006.80792157363	722.458840337207	4	755.25	258.948353924098	1273.1467078482	1125.17621989157	318.498198109393	1.26442592750883	0.697030285455783	2015-02-12 11:23:36	10498	2066	VPT=>Con,AAT=>Exp	1	cannabis	1-AAT-VPT-1	1357610	10498_1-AAT-VPT-1	NA	assessment	aat	10498	Mozilla\/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident\/5.0)	1357610	1357691	task_done	696	
181	64	31	2	0	5	9	803	206.30317496345	1215.6063499269	950.359410688179	5	738	247.514646031301	1233.0292920626	1056.23311632596	272.09020286647	0.389112524164411	8	811.625	412.86488190967	1637.35476381934	1129.21337069975	5	971.2	418.822396726823	1808.84479345365	1529.62986230243	525.223929193556	0.762372902958735	0.575742713561573	2015-02-16 10:09:06	10498	2066	VPT=>Con,AAT=>Exp	2	cannabis	X-AAT-VPT-1	1364483	10498_X-AAT-VPT-1	NA	training	aat	10498	Mozilla\/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident\/5.0)	1364483	1364726	task_done	1254	
182	64	61	0	0	6	13	869.230769230769	178.265791187463	1225.7623516057	916.768313547426	12	818.583333333333	124.604434718493	1067.79220277032	837.753246366948	179.842928101671	-0.439355986996656	15	699.466666666667	167.3771902307	1034.22104712807	699.466666666667	15	810.266666666667	171.330702221784	1152.92807111023	810.266666666667	175.700123316215	0.630619933035495	0.0956319730194194	2015-02-17 13:25:32	10498	2066	VPT=>Con,AAT=>Exp	3	cannabis	X-AAT-VPT-1	1368525	10498_X-AAT-VPT-1	NA	training	aat	10498	Mozilla\/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident\/5.0)	1368525	1368679	task_done	1131	
183	64	59	0	0	5	15	855.066666666667	220.048847390972	1295.16436144861	855.066666666667	14	898.214285714286	140.072606761048	1178.35949923638	916.890633282425	188.906203976091	0.327273352142439	14	947.5	187.158817790996	1321.81763558199	972.454509038799	12	829.083333333333	262.338247422304	1353.75982817794	904.037118311135	256.973561986069	-0.266242916971256	0.0305152175855916	2015-02-19 10:11:26	10498	2066	VPT=>Con,AAT=>Exp	4	cannabis	X-AAT-VPT-1	1372791	10498_X-AAT-VPT-1	NA	training	aat	10498	Mozilla\/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident\/5.0)	1372791	1372900	task_done	1148	
184	64	61	0	0	3	15	1153.8	304.048445387996	1761.89689077599	1153.8	13	1219.15384615385	244.446260677013	1708.04636750787	1254.07474053628	286.981810363598	0.349411485031861	14	981.214285714286	273.123014992661	1527.46031569961	1017.63068771331	16	1142.5	311.529345862205	1765.55869172441	1142.5	306.850435750067	0.406938683275653	0.378175084153757	2015-02-24 13:31:19	10498	2066	VPT=>Con,AAT=>Exp	5	cannabis	X-AAT-VPT-1	1383608	10498_X-AAT-VPT-1	NA	training	aat	10498	Mozilla\/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident\/5.0)	1383608	1383732	task_done	1140	
185	64	58	0	0	6	12	1216.66666666667	361.14070119637	1938.94806905941	1272.22677454303	14	1257.5	259.237268806901	1775.9745376138	1257.5	327.656156305863	-0.0449458197552804	13	1280.61538461538	426.474215410799	2133.56381543698	1341.54027253121	14	1432.57142857143	340.188570848969	2112.94857026937	1517.61857128367	431.683827953748	0.407887178880658	0.181470679562689	2015-02-26 14:11:27	10498	2066	VPT=>Con,AAT=>Exp	6	cannabis	X-AAT-VPT-1	1387691	10498_X-AAT-VPT-1	NA	training	aat	10498	Mozilla\/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident\/5.0)	1387691	1387974	task_done	1171	
